subject_id,object_id,predicate_id,confidence,mapping_tool_id,comment
http://www.w3id.org/animl/ontology/DataPoint,http://purl.allotrope.org/ontologies/result#AFR_0000186,owl:equivalentClass,0.9932571649551392,BERTmap,
http://www.w3id.org/animl/ontology/experiment,http://purl.allotrope.org/ontologies/process#AFP_0003735,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/method,http://purl.allotrope.org/ontologies/result#AFR_0001501,skos:relatedMatch,1,BERTmap,
http://www.w3id.org/animl/ontology/Parameter,http://purl.allotrope.org/ontologies/role#AFRL_0000019,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/Parameter,http://purl.allotrope.org/ontologies/role#AFRL_0000478,skos:broadMatch,1,BERTmap,Allotrope represents a parameter in a mathematical sense
http://www.w3id.org/animl/ontology/result,http://purl.allotrope.org/ontologies/result#AFR_0000207,skos:narrowMatch,1,BERTmap,
http://www.w3id.org/animl/ontology/result,http://purl.allotrope.org/ontologies/result#AFR_0002011,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/result,http://purl.allotrope.org/ontologies/role#AFRL_0000299,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/result,http://purl.allotrope.org/ontologies/role#AFRL_0000043,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/role,http://purl.allotrope.org/ontologies/result#AFR_0000979,owl:equivalentClass,0.9723528027534485,BERTmap,
http://www.w3id.org/animl/ontology/sample,http://purl.allotrope.org/ontologies/role#AFRL_0000508,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/series,http://purl.allotrope.org/ontologies/common#AFC_0000162,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/role#AFRL_0000438,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/signature,http://purl.allotrope.org/ontologies/result#AFR_0001963,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/role#AFRL_0000064,owl:equivalentClass,1,BERTmap,
http://www.w3id.org/animl/ontology/specification,http://purl.allotrope.org/ontologies/result#AFR_0000957,owl:equivalentClass,1,BERTmap,
